truly lamech ^ 3205
so noah ^ 5639
then lot ^ 9230
then abram ^ 9424
now sarai ^ 10787
then abraham ^ 11776
now abraham ^ 12437
then sarah ^ 12549
even lot ^ 13506
then abimelech ^ 14775
then abimelech ^ 15978
so abraham ^ 16672
also tebah ^ 16794
then laban ^ 19167
well lahairoi ^ 19535
again abraham ^ 19695
then abraham ^ 19854
well lahairoi ^ 19964
then jacob ^ 20556
thus esau ^ 20582
then isaac ^ 20974
well esek ^ 21211
then abimelech ^ 21386
not isaac ^ 23470
then jacob ^ 23986
also rachel ^ 24822
then rachel ^ 25322
now arise ^ 26636
then jacob ^ 26740
then laban ^ 26948
now jacob ^ 26952
now rachel ^ 27259
then jacob ^ 27917
then jacob ^ 28148
so esau ^ 29453
then jacob ^ 30578
now israel ^ 32528
then pharaoh ^ 36526
then joseph ^ 38516
then judah ^ 40715
then joseph ^ 41246
then joseph ^ 43127
then joseph ^ 43944
not pharaoh ^ 44100
so joseph ^ 46834
not joseph ^ 47007
now moses ^ 48230
not aaron ^ 49660
then zipporah ^ 50045
afterward moses ^ 50244
then pharaoh ^ 52175
then pharaoh ^ 52940
not pharaoh ^ 53756
then pharaoh ^ 55671
then moses ^ 57179
so moses ^ 60707
so aaron ^ 62120
utterly put ^ 62684
then jethro ^ 62778
so moses ^ 63551
surely put ^ 64057
so moses ^ 64473
surely put ^ 65500
surely put ^ 65579
not put ^ 66673
up moses ^ 68463
even aaron ^ 71639
then moses ^ 77304
now put ^ 77846
so moses ^ 85738
then moses ^ 94142
so put ^ 102000
just ephah ^ 105672
surely put ^ 106006
then moses ^ 128077
now hebron ^ 130012
then moses ^ 130556
surely put ^ 132893
now korah ^ 133095
as moses ^ 134608
thus edom ^ 137921
then israel ^ 138691
thus israel ^ 139125
so balaam ^ 140509
surely put ^ 153755
then sihon ^ 156953
then moses ^ 159653
not put ^ 175504
not put ^ 175902
not put ^ 176686
not put ^ 177750
so moses ^ 187855
then joshua ^ 188447
even jericho ^ 188799
then joshua ^ 190458
now jericho ^ 191829
only rahab ^ 192445
then joshua ^ 195170
so joshua ^ 196674
then joshua ^ 197497
then horam ^ 197654
so joshua ^ 198602
so joshua ^ 198860
now joshua ^ 199546
now manasseh ^ 203113
even timnathserah ^ 205619
then joshua ^ 207289
so joshua ^ 207487
not achan ^ 208130
even terah ^ 209558
then balak ^ 209808
so joshua ^ 210509
so simeon ^ 210815
also judah ^ 211286
even othniel ^ 212949
then ehud ^ 213375
now heber ^ 214014
so barak ^ 214142
then jael ^ 214411
even issachar ^ 214981
also barak ^ 214985
then gideon ^ 216320
then gideon ^ 216450
then jerubbaal ^ 217005
now zebah ^ 218437
then zebah ^ 218810
yet jotham ^ 219502
now jephthah ^ 221864
then jephthah ^ 221941
then jephthah ^ 222199
then israel ^ 222387
not israel ^ 222546
so israel ^ 222596
then jephthah ^ 223457
then manoah ^ 224072
so manoah ^ 224451
then manoah ^ 224552
now put ^ 225092
not naomi ^ 233825
so naomi ^ 233880
then naomi ^ 234818
not boaz ^ 234851
now eli ^ 236523
now hannah ^ 236654
then eli ^ 236770
now eli ^ 237860
now samuel ^ 238667
so samuel ^ 238764
then samuel ^ 238793
then eli ^ 238959
now israel ^ 239142
now eli ^ 239669
even ashdod ^ 240186
then put ^ 241473
away baalim ^ 241519
then samuel ^ 241782
then saul ^ 243349
then samuel ^ 243785
then samuel ^ 244714
then nahash ^ 244808
so samuel ^ 246061
then saul ^ 248667
then saul ^ 248795
then samuel ^ 249546
so samuel ^ 250059
then samuel ^ 250140
nevertheless samuel ^ 250174
then jesse ^ 250477
then jesse ^ 250500
then samuel ^ 250638
so saul ^ 250998
now david ^ 251378
now saul ^ 251570
so david ^ 252757
then jonathan ^ 253122
so michal ^ 254514
so david ^ 254686
not jonathan ^ 255047
so jonathan ^ 255527
then jonathan ^ 255581
so david ^ 255787
then saul ^ 256027
so jonathan ^ 256167
only jonathan ^ 256340
then david ^ 257243
now saul ^ 257273
then saul ^ 257304
then ahimelech ^ 257600
not put ^ 257770
then david ^ 258075
so david ^ 258109
so david ^ 258137
then david ^ 258374
also saul ^ 258545
not david ^ 258590
then saul ^ 259000
then david ^ 259111
so david ^ 259198
not put ^ 259342
then abigail ^ 260388
now david ^ 260508
even nabal ^ 260675
so david ^ 261107
not david ^ 261503
then saul ^ 261520
so david ^ 261706
so david ^ 261909
then david ^ 261963
then abner ^ 262014
then saul ^ 262470
so david ^ 262496
even david ^ 262626
then achish ^ 262719
now samuel ^ 263052
then saul ^ 263717
then achish ^ 264199
so david ^ 264419
then david ^ 264563
so david ^ 264730
so saul ^ 265751
then david ^ 266392
so david ^ 266944
now arise ^ 267338
then abner ^ 267508
then abner ^ 267741
so joab ^ 267818
then joab ^ 268790
so joab ^ 269031
nevertheless david ^ 270069
so david ^ 270144
so david ^ 270997
so david ^ 271069
then david ^ 271270
also hadadezer ^ 272539
then david ^ 272627
then toi ^ 272717
now ziba ^ 273379
so mephibosheth ^ 273465
not david ^ 273604
so joab ^ 274017
so uriah ^ 274653
then joab ^ 274840
then david ^ 275061
then david ^ 275911
so david ^ 276343
so amnon ^ 276565
then david ^ 276621
so tamar ^ 276646
then amnon ^ 276902
now absalom ^ 277328
so absalom ^ 277720
now joab ^ 277762
so joab ^ 277853
so joab ^ 278678
so absalom ^ 278713
so absalom ^ 278853
then joab ^ 278950
then absalom ^ 279156
so absalom ^ 279301
so hushai ^ 280423
now hushai ^ 281453
now jonathan ^ 281935
then david ^ 282149
then david ^ 282242
not put ^ 282912
now absalom ^ 283105
then ahimaaz ^ 283328
not shimei ^ 284568
now barzillai ^ 284949
so amasa ^ 285648
so joab ^ 285892
now joab ^ 286400
then sibbechai ^ 287223
not arise ^ 288220
so david ^ 290557
then adonijah ^ 290751
then bathsheba ^ 291630
so zadok ^ 291862
also solomon ^ 292170
not put ^ 292798
so david ^ 292846
so solomon ^ 293424
then solomon ^ 293524
so benaiah ^ 293763
then solomon ^ 299671
now hiram ^ 302626
then pharaoh ^ 304896
so israel ^ 306297
so israel ^ 306368
then jeroboam ^ 306598
also sodomites ^ 309197
also maachah ^ 309767
