POSPhrase ^ Count ^ ExampleFWID
[NN]  ^ 2968 ^ 14
[VB]  ^ 1340 ^ 7
[IN]  ^ 1229 ^ 4
[CC]  ^ 1146 ^ 18
[DT]  ^ 996 ^ 1
[,]  ^ 951 ^ 29
[:]  ^ 794 ^ 6
[NNP]  ^ 585 ^ 20
[:] [CC]  ^ 503 ^ 22
[DT] [NN]  ^ 469 ^ 12
[CD] [:]  ^ 446 ^ 9
[,] [CC]  ^ 440 ^ 29
[IN] [DT]  ^ 418 ^ 11
[JJ]  ^ 336 ^ 2
[VBx]  ^ 334 ^ 205
[CD] [:] [CC]  ^ 331 ^ 21
[NN] [VB]  ^ 319 ^ 14
[NN] [NN]  ^ 302 ^ 514
[IN] [NN]  ^ 286 ^ 45
[CC] [NN]  ^ 284 ^ 56
[NN] [,]  ^ 266 ^ 97
[CD]  ^ 238 ^ 414
[RB]  ^ 227 ^ 4913
[CC] [DT]  ^ 176 ^ 18
[:] [CC] [NN]  ^ 176 ^ 55
[NN] [IN]  ^ 169 ^ 3
[DT] [NN] [IN]  ^ 148 ^ 37
[IN] [DT] [NN]  ^ 145 ^ 51
[NN] [,] [CC]  ^ 138 ^ 97
[TO]  ^ 131 ^ 358
[,] [NN]  ^ 131 ^ 1513
[NNP] [,]  ^ 114 ^ 457
[DT] [NNP]  ^ 102 ^ 19
[CC] [NNP]  ^ 98 ^ 2558
[VB] [IN]  ^ 96 ^ 243
[:] [CC] [DT]  ^ 94 ^ 22
[VB] [DT]  ^ 92 ^ 73
[,] [IN]  ^ 91 ^ 76
[VB] [NN]  ^ 89 ^ 367
[VB] [VB]  ^ 74 ^ 879
[CC] [NN] [VB]  ^ 73 ^ 56
[IN] [NNP]  ^ 72 ^ 1246
[VBx] [NN]  ^ 68 ^ 263
[CD] [:] [CC] [NN]  ^ 66 ^ 54
[IN] [DT] [NNP]  ^ 63 ^ 282
[JJ] [NN]  ^ 62 ^ 674
[CD] [:] [CC] [DT]  ^ 62 ^ 21
[VB] [,]  ^ 59 ^ 58
[,] [CC] [NN]  ^ 59 ^ 639
[NN] [:]  ^ 58 ^ 382
[:] [CC] [NN] [VB]  ^ 58 ^ 55
